,momentum,volatility,strength,breadth,safe_haven,put_call
1996-06-25,,,0.5,-4.287205794190373,,
1996-06-26,,,0.5,-4.053168377063214,,
1996-06-27,,,0.5,-1.67986503576541,,
1996-06-28,,,0.5,-1.1926168474421446,,
1996-07-01,,,0.5,-2.9757774206413137,,
1996-07-02,,,0.5,-2.9801815259792708,,
1996-07-03,,,0.5,-4.98378488489727,,
1996-07-04,,,0.5,-4.259460360368974,,
1996-07-05,,,0.5,-3.3031948403002453,,
1996-07-08,,,1.0,-1.0662503238788763,,
1996-07-09,,,1.0,-2.872386628630248,,
1996-07-10,,,0.5,-2.8955890597884064,,
1996-07-11,,,1.0,-1.0963910489164024,,
1996-07-12,,,1.0,-1.987956312750345,,
1996-07-15,,,0.5,-0.35378243770398576,,
1996-07-16,,,1.0,-2.1076401763040007,,
1996-07-17,,,1.0,0.2755671284793675,,
1996-07-18,,,1.0,1.861827650574476,,
1996-07-19,,,1.0,2.4324044413792487,,
1996-07-22,,,1.0,1.4446945429464713,,
1996-07-23,,,1.0,0.2729318987742044,,
1996-07-24,,,0.5,-3.2312375373670035,,
1996-07-25,,,0.5,-3.552830712391218,,
1996-07-26,,,0.5,-4.7250433101383695,,
1996-07-29,,,0.5,-5.502308162840539,,
1996-07-30,,,0.5,-6.865524860505974,,
1996-07-31,,,0.5,-3.6172476131410995,,
1996-08-01,,,0.5,-2.595929865297224,,
1996-08-02,,,0.5,-3.214851707970475,,
1996-08-05,,,0.5,-2.993969579248565,,
1996-08-06,,,0.5,-2.631429655748818,,
1996-08-07,,,0.5,-1.0620788092490059,,
1996-08-08,,,0.5,-1.9598826621128358,,
1996-08-09,,,0.5,-1.0580858144559462,,
1996-08-12,,,0.5,-1.4111611209185047,,
1996-08-13,,,0.5,-1.7000409171151423,,
1996-08-14,,,0.5,-1.5727607503669336,,
1996-08-15,,,0.5,-1.2868042503002168,,
1996-08-16,,,0.5,-3.961930750245644,,
1996-08-19,,,0.5,-6.6961251592919,,
1996-08-20,,,0.5,-5.47864785760246,,
1996-08-21,,,0.5,-1.5734391562201846,,
1996-08-22,,,0.5,-1.1055411278165137,,
1996-08-23,,,0.5,0.18637544087740016,,
1996-08-26,,,0.5,-1.1202382756457654,,
1996-08-27,,,0.5,-0.18928586189198873,,
1996-08-28,,,0.5,2.0269479311792846,,
1996-08-29,,,0.5,2.3856846709648694,,
1996-08-30,,,0.5,2.679196548971257,,
1996-09-02,,,0.5,3.6466153582492105,,
1996-09-03,,,0.5,0.9835943840220797,,
1996-09-04,,,0.0,2.259304496018066,,
1996-09-05,,,0.5,4.93943095128751,,
1996-09-06,,,0.5,3.677716232871598,,
1996-09-09,,,0.5,0.09994964507675977,,
1996-09-10,,,0.5,-1.7364048358462887,,
