,momentum,volatility,strength,breadth,safe_haven,put_call,composite,zone
2025-06-11,76.09561752988047,73.70517928286853,17.52988047808765,84.4621513944223,60.1593625498008,43.82470119521913,59.29614873837982,Greed
2025-06-12,65.73705179282868,61.75298804780876,17.52988047808765,45.81673306772908,35.85657370517929,93.22709163346613,53.320053120849934,Neutral
2025-06-13,58.964143426294825,34.26294820717132,17.52988047808765,22.31075697211155,35.0597609561753,60.1593625498008,38.047808764940235,Fear
2025-06-16,67.72908366533864,37.45019920318725,17.52988047808765,60.95617529880478,49.800796812749006,22.70916334661355,42.69588313413015,Fear
2025-06-17,64.14342629482071,49.40239043824701,17.52988047808765,41.03585657370518,57.76892430278885,49.800796812749006,46.61354581673307,Neutral
2025-06-18,63.745019920318725,53.386454183266935,17.52988047808765,26.294820717131472,50.59760956175299,82.86852589641434,49.07038512616202,Neutral
2025-06-19,61.75298804780876,53.78486055776893,17.52988047808765,22.709163346613543,58.56573705179283,42.62948207171314,42.82868525896415,Fear
2025-06-20,73.70517928286853,73.70517928286853,46.21513944223107,64.5418326693227,62.54980079681275,19.521912350597617,56.70650730411686,Greed
2025-06-23,68.52589641434263,59.76095617529881,17.52988047808765,43.82470119521912,53.38645418326693,35.85657370517929,46.48074369189907,Neutral
2025-06-24,69.7211155378486,75.2988047808765,17.52988047808765,58.964143426294825,62.94820717131474,68.92430278884461,58.89774236387782,Greed
2025-06-25,77.68924302788844,91.23505976095618,47.01195219123506,88.44621513944223,73.30677290836654,24.302788844621517,66.99867197875166,Greed
2025-06-26,83.26693227091634,96.41434262948206,47.01195219123506,96.41434262948208,83.66533864541833,6.374501992031881,68.85790172642763,Greed
2025-06-27,88.84462151394422,98.00796812749005,47.01195219123506,94.42231075697211,90.83665338645417,11.155378486055781,71.71314741035856,Greed
2025-06-30,80.87649402390437,92.82868525896414,47.01195219123506,82.86852589641434,86.45418326693228,80.4780876494024,78.41965471447543,Extreme Greed
2025-07-01,80.87649402390437,96.81274900398407,47.01195219123506,77.29083665338645,90.43824701195219,60.55776892430279,75.49800796812748,Extreme Greed
2025-07-02,78.08764940239044,97.60956175298804,47.01195219123506,72.50996015936255,84.06374501992032,84.4621513944223,77.29083665338645,Extreme Greed
2025-07-03,77.29083665338645,98.00796812749005,47.01195219123506,62.54980079681275,76.49402390438247,67.33067729083666,71.44754316069057,Greed
2025-07-04,78.48605577689243,98.00796812749005,47.01195219123506,72.11155378486056,70.1195219123506,49.40239043824701,69.18990703851262,Greed
2025-07-07,78.48605577689243,94.8207171314741,47.01195219123506,62.15139442231076,66.93227091633466,46.21513944223108,65.93625498007968,Greed
2025-07-08,80.47808764940238,98.40637450199203,47.01195219123506,60.1593625498008,66.93227091633466,33.06772908366534,64.3426294820717,Greed
2025-07-09,78.08764940239044,99.60159362549801,47.01195219123506,50.99601593625498,63.34661354581673,66.53386454183267,67.59628154050465,Greed
2025-07-10,75.2988047808765,100.0,17.52988047808765,26.294820717131472,67.33067729083665,87.64940239043824,62.35059760956175,Greed
2025-07-11,68.12749003984064,99.20318725099601,17.52988047808765,11.155378486055776,62.94820717131474,88.04780876494024,57.83532536520585,Greed
2025-07-14,66.13545816733067,98.00796812749005,17.52988047808765,13.94422310756972,52.589641434262944,93.62549800796813,56.972111553784856,Greed
2025-07-15,69.7211155378486,100.0,17.52988047808765,35.45816733067729,62.54980079681275,58.96414342629482,57.37051792828685,Greed
2025-07-16,69.7211155378486,100.0,48.60557768924303,35.0597609561753,68.52589641434263,49.40239043824701,61.88579017264277,Greed
2025-07-17,64.9402390438247,100.0,48.60557768924303,28.68525896414343,60.95617529880478,82.86852589641434,64.34262948207171,Greed
2025-07-18,56.97211155378486,99.20318725099601,0.0,17.131474103585656,39.44223107569721,82.86852589641434,49.26958831341301,Neutral
2025-07-21,62.54980079681275,100.0,49.00398406374502,25.89641434262948,49.00398406374502,43.02788844621514,54.913678618857894,Neutral
2025-07-22,60.1593625498008,100.0,49.40239043824701,19.52191235059761,47.01195219123506,70.5179282868526,57.768924302788854,Greed
2025-07-23,68.92430278884463,100.0,49.40239043824701,50.59760956175299,44.223107569721115,17.13147410358566,55.046480743691895,Greed
2025-07-24,59.36254980079681,99.60159362549801,0.0,29.880478087649404,27.091633466135455,80.87649402390439,49.468791500664004,Neutral
2025-07-25,52.98804780876494,97.60956175298804,0.0,11.155378486055776,15.53784860557769,96.41434262948206,45.61752988047809,Neutral
2025-07-28,49.800796812749006,93.22709163346613,18.725099601593627,7.569721115537849,15.53784860557769,99.60159362549801,47.410358565737056,Neutral
2025-07-29,51.79282868525896,96.41434262948206,18.725099601593627,32.669322709163346,23.904382470119522,77.68924302788845,50.199203187250994,Neutral
2025-07-30,52.589641434262944,98.40637450199203,18.725099601593627,36.254980079681275,28.68525896414343,57.76892430278885,48.73837981407703,Neutral
2025-07-31,50.59760956175299,95.61752988047809,0.0,17.131474103585656,27.091633466135455,32.66932270916335,37.18459495351925,Fear
2025-08-01,48.20717131474104,93.62549800796813,0.0,6.374501992031872,19.12350597609562,89.24302788844622,42.76228419654715,Fear
2025-08-04,49.800796812749006,93.62549800796813,19.52191235059761,39.8406374501992,21.51394422310757,43.82470119521913,44.68791500664011,Fear
2025-08-05,49.40239043824701,94.8207171314741,19.52191235059761,41.03585657370518,16.334661354581673,69.7211155378486,48.47277556440903,Neutral
2025-08-06,48.20717131474104,93.62549800796813,19.52191235059761,18.725099601593627,14.741035856573706,89.24302788844622,47.34395750332006,Neutral
2025-08-07,48.60557768924303,94.8207171314741,52.98804780876494,39.44223107569721,24.701195219123505,47.410358565737056,51.32802124833997,Neutral
2025-08-08,46.21513944223107,90.43824701195219,19.52191235059761,13.94422310756972,25.89641434262948,98.00796812749005,49.00398406374501,Neutral
2025-08-11,48.60557768924303,89.24302788844622,19.52191235059761,58.964143426294825,35.45816733067729,29.880478087649394,46.94555112881806,Neutral
2025-08-12,48.20717131474104,88.84462151394422,19.52191235059761,49.800796812749006,28.286852589641438,82.47011952191235,52.855245683930946,Neutral
2025-08-13,49.800796812749006,89.64143426294821,53.38645418326693,67.33067729083665,35.0597609561753,23.10756972111554,53.05444887118193,Neutral
2025-08-14,49.800796812749006,87.64940239043824,53.38645418326693,62.54980079681275,38.24701195219124,38.645418326693225,55.046480743691895,Greed
2025-08-18,55.37848605577689,87.64940239043824,53.38645418326693,84.06374501992032,58.964143426294825,33.46613545816733,62.15139442231075,Greed
2025-08-19,57.37051792828686,94.02390438247012,52.98804780876494,84.4621513944223,59.36254980079681,17.13147410358566,60.88977423638778,Greed
2025-08-20,60.55776892430279,94.02390438247012,52.98804780876494,83.66533864541833,62.15139442231076,5.577689243027891,59.82735723771581,Greed
2025-08-21,60.95617529880478,96.81274900398407,52.98804780876494,77.29083665338645,58.16733067729084,25.099601593625493,61.885790172642764,Greed
2025-08-22,52.98804780876494,93.62549800796813,52.98804780876494,44.6215139442231,54.18326693227091,91.63346613545816,65.0066401062417,Greed
2025-08-25,56.17529880478087,93.22709163346613,52.98804780876494,58.56573705179283,67.72908366533864,56.17529880478088,64.14342629482071,Greed
2025-08-26,49.00398406374502,87.25099601593625,52.98804780876494,30.278884462151396,62.94820717131474,93.22709163346613,62.61620185922974,Greed
2025-08-28,46.21513944223107,87.25099601593625,52.98804780876494,15.53784860557769,46.613545816733065,85.65737051792829,55.71049136786189,Greed
2025-08-29,43.82470119521912,93.22709163346613,52.98804780876494,16.334661354581673,40.23904382470119,94.8207171314741,56.90571049136786,Greed
2025-09-01,48.60557768924303,96.81274900398407,52.98804780876494,52.191235059760956,55.77689243027888,15.936254980079681,53.71845949535194,Neutral
2025-09-02,47.410358565737056,95.61752988047809,52.98804780876494,59.76095617529881,64.5418326693227,42.23107569721115,60.42496679946879,Greed
2025-09-03,50.59760956175299,98.80478087649402,52.98804780876494,75.2988047808765,64.5418326693227,7.968127490039848,58.36653386454183,Greed
2025-09-04,50.59760956175299,98.80478087649402,52.98804780876494,61.354581673306775,67.33067729083665,65.33864541832669,66.06905710491368,Greed
2025-09-05,49.800796812749006,98.80478087649402,52.98804780876494,58.16733067729084,72.50996015936255,58.167330677290835,65.07304116865869,Greed
2025-09-08,50.59760956175299,98.40637450199203,52.98804780876494,53.38645418326693,68.12749003984064,38.645418326693225,60.358565737051784,Greed
2025-09-09,52.191235059760956,99.60159362549801,52.98804780876494,70.5179282868526,81.27490039840637,14.741035856573703,61.885790172642764,Greed
